【專題影片字幕校對稿：Windows 95 革命：從黑暗時代到數位黎明】
說明：依據標準字幕規範（每行 8～12 字黃金長度、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:01,820] 歡迎來到今天的專題故事
033. [00:00:57,760 -> 00:00:58,740] 難以想像對吧？
034. [00:00:59,280 -> 00:01:02,160] 但在 1995 年的 8 月 23 日深夜
035. [00:01:02,460 -> 00:01:04,200] 這可是真實發生的奇觀。
036. [00:01:04,980 -> 00:01:06,260] 到底是什麼樣的魔力
037. [00:01:06,640 -> 00:01:08,060] 能讓全世界為了一張
038. [00:01:08,060 -> 00:01:09,600] 軟體光碟瘋成這樣？
039. [00:01:10,100 -> 00:01:10,900] 要瞭解這點
040. [00:01:11,220 -> 00:01:13,260] 我們就先來看看第一部分：
041. [00:01:13,680 -> 00:01:16,060] 逃離個人電腦的黑暗時代
042. [00:01:16,420 -> 00:01:17,620] 那個傳說中的
043. [00:01:17,620 -> 00:01:19,880] 640KB 記憶體地獄。
044. [00:01:20,440 -> 00:01:22,660] 說真的，如果你穿越回 1994 年
045. [00:01:22,840 -> 00:01:24,460] 用電腦絕對不是什麼享受
046. [00:01:24,620 -> 00:01:26,720] 它比較像是一場痛苦的儀式。
047. [00:01:27,040 -> 00:01:29,340] 當時大家用的幾乎都是 MS-DOS
048. [00:01:29,640 -> 00:01:30,500] 頂多套上一個
049. [00:01:30,500 -> 00:01:33,340] 畫質很陽春的 Windows 3.1 介面。
050. [00:01:33,680 -> 00:01:34,460] 最慘的是
051. [00:01:34,740 -> 00:01:35,960] 你被死死困在一個
052. [00:01:35,960 -> 00:01:39,260] 叫做 640KB 記憶體牢籠的地方。
053. [00:01:39,640 -> 00:01:40,300] 什麼意思呢？
054. [00:01:40,600 -> 00:01:41,820] 就是就算你砸大錢
055. [00:01:42,180 -> 00:01:44,240] 給電腦插滿了 8MB 記憶體
056. [00:01:44,580 -> 00:01:45,660] 系統還是只能在
057. [00:01:45,660 -> 00:01:48,360] 那可憐的 640KB 空間裡苟延殘喘。
058. [00:01:48,760 -> 00:01:50,420] 那時候為了玩個遊戲
059. [00:01:50,700 -> 00:01:52,720] 你幾乎得逼自己變成半個工程師
060. [00:01:53,040 -> 00:01:54,160] 像玩俄羅斯方塊一樣
061. [00:01:54,360 -> 00:01:56,280] 拼命去榨出記憶體空間。
062. [00:01:56,600 -> 00:01:58,300] 所以當 Windows 95 承諾帶來
063. [00:01:58,300 -> 00:01:59,880] 32 位元平坦記憶體、
064. [00:02:00,100 -> 00:02:00,740] 隨插即用
065. [00:02:01,020 -> 00:02:02,800] 甚至可以打出超長檔名的時候
066. [00:02:03,100 -> 00:02:04,060] 對當時的人來說
067. [00:02:04,340 -> 00:02:06,120] 這簡直就是老天爺降臨的
068. [00:02:06,120 -> 00:02:07,000] 科技救贖啊！
069. [00:02:07,460 -> 00:02:09,720] 講到硬體，更是一場惡夢
070. [00:02:10,100 -> 00:02:11,540] 大家聽過隨插即咒嗎？
071. [00:02:12,020 -> 00:02:13,100] 英文叫 Plug and Pray
072. [00:02:13,600 -> 00:02:15,020] 沒錯，就是插上去
073. [00:02:15,240 -> 00:02:17,220] 然後雙手合十祈禱它能動。
074. [00:02:17,720 -> 00:02:20,100] 以前要在電腦裡裝一塊新音效卡
075. [00:02:20,340 -> 00:02:21,880] 難度堪比外科手術
076. [00:02:22,200 -> 00:02:23,540] 你得拿著金屬鑷子
077. [00:02:23,800 -> 00:02:26,360] 對著電路板小心翼翼地拔插跳線
078. [00:02:26,620 -> 00:02:27,880] 還要手動設定一個
079. [00:02:27,880 -> 00:02:29,860] 叫 IRQ 的中斷請求號碼。
080. [00:02:30,220 -> 00:02:31,380] 萬一號碼衝突了
081. [00:02:31,580 -> 00:02:32,860] 電腦瞬間變成啞巴
082. [00:02:33,180 -> 00:02:34,580] 或者直接死機給你看！
083. [00:02:34,980 -> 00:02:36,520] 這就是微軟當時面臨的
084. [00:02:36,520 -> 00:02:37,360] 高風險挑戰
085. [00:02:37,660 -> 00:02:40,020] 他們知道必須打造一個更好的系統
086. [00:02:40,020 -> 00:02:41,120] 來終結這一切。
087. [00:02:41,640 -> 00:02:43,440] 所以微軟必須出手了
088. [00:02:43,620 -> 00:02:45,260] 這就來到我們的第二部分：
089. [00:02:45,560 -> 00:02:47,200] 不可能的芝加哥專案
090. [00:02:47,480 -> 00:02:49,140] 一場極限的工程冒險。
091. [00:02:49,660 -> 00:02:51,360] 時間回到 1992 年底
092. [00:02:51,600 -> 00:02:54,260] 當時微軟副總裁布拉德·西爾弗伯格
093. [00:02:54,260 -> 00:02:56,120] 接下了一個不可能的任務。
094. [00:02:56,460 -> 00:02:58,380] 他要求團隊必須打造一套
095. [00:02:58,380 -> 00:03:00,920] 真正現代化的 32 位元系統
096. [00:03:01,240 -> 00:03:01,800] 也就是說
097. [00:03:02,160 -> 00:03:04,520] 作業系統終於有最高控制權了
098. [00:03:04,780 -> 00:03:06,160] 就算一個軟體當機
099. [00:03:06,420 -> 00:03:08,240] 也不會連累整台電腦死當。
100. [00:03:08,240 -> 00:03:10,280] 但最不可思議的其實是：
101. [00:03:10,620 -> 00:03:12,080] 「向後相容」這四個字！
102. [00:03:12,320 -> 00:03:13,720] 這套最先進的系統
103. [00:03:13,960 -> 00:03:16,480] 居然還被要求必須能完美執行
104. [00:03:16,480 -> 00:03:18,560] 世界上所有舊的 DOS 軟體。
105. [00:03:18,980 -> 00:03:19,880] 你可以想像一下
106. [00:03:20,220 -> 00:03:22,060] 這簡直就像是你造了一艘
107. [00:03:22,060 -> 00:03:23,500] 最先進的太空船
108. [00:03:23,880 -> 00:03:25,040] 但你卻要求裡面
109. [00:03:25,040 -> 00:03:27,000] 必須能完美地駕駛馬車！
110. [00:03:27,320 -> 00:03:28,260] 這真的是一場
111. [00:03:28,260 -> 00:03:30,520] 在鋼絲上跳舞的極限工程。
112. [00:03:30,960 -> 00:03:33,540] 當然，光是底層厲害還不夠
113. [00:03:34,000 -> 00:03:35,460] 接下來是第三部分：
114. [00:03:35,920 -> 00:03:37,300] 打造現代桌面。
115. [00:03:37,880 -> 00:03:40,020] 微軟要徹底重塑人類
116. [00:03:40,020 -> 00:03:42,080] 跟數位世界的互動邏輯。
117. [00:03:42,480 -> 00:03:44,940] 你知道嗎？以前沒碰過電腦的普通人
118. [00:03:45,320 -> 00:03:47,660] 盯著一片黑畫面其實是會恐慌的。
119. [00:03:47,960 -> 00:03:49,300] 微軟為了解決這個焦慮
120. [00:03:49,620 -> 00:03:51,440] 特地弄了一個龐大的實驗室
121. [00:03:51,700 -> 00:03:52,640] 找來一堆新手
122. [00:03:52,920 -> 00:03:54,540] 透過單向玻璃觀察他們
123. [00:03:54,860 -> 00:03:57,360] 結果發現，大家最大的恐懼就是：
124. [00:03:57,760 -> 00:03:59,860] 根本不知道第一步該點哪裡！
125. [00:03:59,860 -> 00:04:02,540] 於是，微軟創造了統治我們
126. [00:04:02,540 -> 00:04:05,200] 電腦桌面長達 30 年的三大支柱：
127. [00:04:05,400 -> 00:04:07,740] 首先就是左下角那個永遠都在的
128. [00:04:07,740 -> 00:04:08,460] 「開始」按鈕
129. [00:04:08,740 -> 00:04:10,320] 直接給迷失的人一盞明燈。
130. [00:04:10,880 -> 00:04:12,420] 接著是底部的工作列
131. [00:04:12,740 -> 00:04:14,780] 讓你看一目了然現在開了什麼視窗
132. [00:04:15,140 -> 00:04:16,780] 最後是右下角的系統匣
133. [00:04:17,040 -> 00:04:18,360] 可以看時間跟網路。
134. [00:04:18,740 -> 00:04:20,060] 為了讓設計直覺到底
135. [00:04:20,380 -> 00:04:21,540] 微軟甚至連關機
136. [00:04:21,540 -> 00:04:23,120] 都塞進了開始選單裡
137. [00:04:23,480 -> 00:04:24,420] 結果這反而變成了
138. [00:04:24,420 -> 00:04:26,240] 科技史上最經典的笑話
139. [00:04:26,580 -> 00:04:28,320] 也就是：你必須先按開始
140. [00:04:28,320 -> 00:04:29,400] 才能關閉電腦！
141. [00:04:30,020 -> 00:04:32,440] 這裡還有一個超有趣的細節：
142. [00:04:32,680 -> 00:04:33,780] 3.25 秒！
143. [00:04:34,420 -> 00:04:37,460] 為了洗去電腦那種冷冰冰的機器味
144. [00:04:37,760 -> 00:04:39,840] 微軟找來了世界頂尖的
145. [00:04:39,840 -> 00:04:42,480] 環境音樂大師：布萊恩·伊諾。
146. [00:04:42,840 -> 00:04:45,540] 他們開出了一個近乎荒謬的要求：
147. [00:04:45,840 -> 00:04:48,960] 這段開機音樂必須讓人覺得有啟發性
148. [00:04:49,360 -> 00:04:50,800] 樂觀、有未來感
149. [00:04:50,980 -> 00:04:52,920] 而且長度必須嚴格限制在
150. [00:04:52,920 -> 00:04:55,000] 3.25 秒以內！
151. [00:04:55,000 -> 00:04:58,320] 伊諾大師嘗試了整整 84 個版本
152. [00:04:58,460 -> 00:05:01,020] 最後才磨出那段像晨曦穿透雲層的
153. [00:05:01,020 -> 00:05:02,380] 經典開機音效。
154. [00:05:02,560 -> 00:05:05,060] 但有夠諷刺的是什麼，大家知道嗎？
155. [00:05:05,400 -> 00:05:07,200] 這位大師多年後自己爆料：
156. [00:05:07,460 -> 00:05:08,920] 這段微軟的神曲
157. [00:05:09,220 -> 00:05:11,180] 其實是他完完全全用一台
158. [00:05:11,180 -> 00:05:13,620] 蘋果的 Mac 電腦寫出來的！
159. [00:05:14,000 -> 00:05:16,220] 好的，系統終於做出來了
160. [00:05:16,500 -> 00:05:18,300] 接下來就是重頭戲：
161. [00:05:18,300 -> 00:05:21,980] 第四部分：終極的發表派對
162. [00:05:22,200 -> 00:05:25,300] 堪稱史上最瘋狂的科技嘉年華！
163. [00:05:25,900 -> 00:05:28,400] 1995 年 8 月 24 日
164. [00:05:28,540 -> 00:05:30,640] 軟體正式離開實驗室
165. [00:05:30,880 -> 00:05:34,500] 變成了一場席捲全球的流行文化現象。
166. [00:05:34,900 -> 00:05:37,140] 在那天之前，軟體不過就是
167. [00:05:37,140 -> 00:05:38,960] 工程師才會買的光碟
168. [00:05:39,280 -> 00:05:40,380] 但從那天起
169. [00:05:40,540 -> 00:05:43,120] 它變成了全人類的集體信仰。
170. [00:05:43,120 -> 00:05:45,080] 而推動這場狂熱的
171. [00:05:45,220 -> 00:05:47,680] 是這個超誇張的天文數字：
172. [00:05:48,040 -> 00:05:49,180] 三億美元！
173. [00:05:49,720 -> 00:05:53,180] 比爾·蓋茲直接砸了三億美元當行銷預算
174. [00:05:53,540 -> 00:05:56,160] 這在當時的軟體業根本聞所未聞。
175. [00:05:56,560 -> 00:05:59,040] 微軟簡直是用好萊塢大片上映
176. [00:05:59,360 -> 00:06:02,520] 甚至是披頭四辦巡迴演唱會的狂熱規格
177. [00:06:02,700 -> 00:06:05,040] 在向全世界發動視聽轟炸！
178. [00:06:05,560 -> 00:06:07,880] 我們來看看這場行銷風暴有多猛：
179. [00:06:08,340 -> 00:06:10,360] 紐約帝國大廈有史以來
180. [00:06:10,520 -> 00:06:12,160] 第一次被商業公司包下來
181. [00:06:12,380 -> 00:06:14,100] 打上了微軟的四色霓虹燈！
182. [00:06:14,560 -> 00:06:17,620] 在英國，微軟把當天倫敦《泰晤士報》
183. [00:06:17,620 -> 00:06:19,720] 的 150 萬份報紙全包了
184. [00:06:20,060 -> 00:06:20,700] 免費發送！
185. [00:06:21,120 -> 00:06:23,180] 他們甚至砸了幾百萬美元
186. [00:06:23,460 -> 00:06:25,880] 讓傳奇的滾石樂團第一次把名曲
187. [00:06:25,880 -> 00:06:27,940] 《Start Me Up》授權給廣告用
188. [00:06:28,220 -> 00:06:29,980] 還請來當時紅透半邊天的
189. [00:06:29,980 -> 00:06:31,980] 《六人行》演員拍搞笑教學影片。
190. [00:06:31,980 -> 00:06:33,360] 最離譜的是
191. [00:06:33,780 -> 00:06:35,880] 在那些徹夜排隊搶購的人群裡
192. [00:06:36,140 -> 00:06:37,220] 有很大的一部分人
193. [00:06:37,220 -> 00:06:39,140] 在家裡根本連電腦都沒有！
194. [00:06:39,340 -> 00:06:40,740] 但在那個瘋狂的夜晚
195. [00:06:41,140 -> 00:06:43,620] 大家就是有一種：如果不買這盒 Windows 95
196. [00:06:44,200 -> 00:06:46,240] 自己就會被未來淘汰的錯覺。
197. [00:06:46,640 -> 00:06:48,400] 然而，在狂歡背後
198. [00:06:48,780 -> 00:06:51,640] 藏著一個差點顛覆微軟帝國的危機
199. [00:06:51,980 -> 00:06:53,240] 這就是第五部分：
200. [00:06:53,560 -> 00:06:55,460] 網際網路的劇情轉折。
201. [00:06:56,100 -> 00:06:58,740] 微軟差點錯過了一場超級海嘯！
202. [00:06:59,240 -> 00:07:01,400] 就在比爾·蓋茲站上人生巔峰、
203. [00:07:01,400 -> 00:07:03,660] 坐穩世界首富的時候
204. [00:07:04,060 -> 00:07:05,840] 他們竟然漏掉了一個
205. [00:07:05,840 -> 00:07:08,240] 足以改變世界的小細節：
206. [00:07:08,620 -> 00:07:11,480] 1995 年 8 月發售的第一版光碟裡
207. [00:07:11,860 -> 00:07:14,380] 居然沒有內建網際網路瀏覽器！
208. [00:07:15,220 -> 00:07:16,120] 而這個時候
209. [00:07:16,540 -> 00:07:18,640] 網景公司的創辦人馬克·安德森
210. [00:07:18,640 -> 00:07:19,580] 直接放話了！
211. [00:07:19,860 -> 00:07:21,020] 他狂妄地宣稱：
212. [00:07:21,020 -> 00:07:24,720] 網際網路瀏覽器未來會變成通用平台
213. [00:07:25,140 -> 00:07:26,400] 而底層的 Windows
214. [00:07:26,700 -> 00:07:28,340] 就只是一組微不足道、
215. [00:07:28,340 -> 00:07:31,040] 隨時可替換的驅動程式罷了！
216. [00:07:31,540 -> 00:07:34,240] 這句話，真的一針見血地
217. [00:07:34,240 -> 00:07:35,880] 刺中了微軟的死穴！
218. [00:07:36,280 -> 00:07:37,780] 安德森的這番狂言
219. [00:07:38,060 -> 00:07:40,260] 徹徹底底把比爾·蓋茲給砸醒了！
220. [00:07:40,780 -> 00:07:42,360] 到了 1995 年 5 月
221. [00:07:42,660 -> 00:07:45,800] 蓋茲發布了一份歷史性的紅色預警備忘錄
222. [00:07:46,000 -> 00:07:47,780] 他直接對內部宣告：
223. [00:07:48,280 -> 00:07:51,340] 網際網路是一場百年一遇的超級海嘯
224. [00:07:51,720 -> 00:07:53,260] 它改變了所有規則
225. [00:07:53,580 -> 00:07:55,640] 甚至威脅到了微軟的生存！
226. [00:07:56,100 -> 00:07:58,620] 這隻受傷的科技巨獸一覺醒來
227. [00:07:59,000 -> 00:08:01,260] 立刻展開了極其凶狠的反撲
228. [00:08:01,600 -> 00:08:04,440] 一場史詩級的企業大戰就這樣開打了！
229. [00:08:04,780 -> 00:08:06,480] 戰火蔓延得非常快
230. [00:08:06,860 -> 00:08:08,820] 微軟馬上緊急拼湊出了
231. [00:08:08,820 -> 00:08:10,820] Internet Explorer 1.0 瀏覽器
232. [00:08:11,060 -> 00:08:13,420] 然後使出他們的終極殺招：
233. [00:08:13,900 -> 00:08:15,920] 全面免費加深度綑綁！
234. [00:08:16,480 -> 00:08:17,680] 到了 1996 年
235. [00:08:17,960 -> 00:08:21,060] 微軟乾脆把 IE 跟 Windows 系統綁死在一起
236. [00:08:21,440 -> 00:08:23,100] 死死釘在你的桌面上
237. [00:08:23,440 -> 00:08:25,220] 而且警告各大電腦廠商
238. [00:08:25,560 -> 00:08:27,400] 絕對不准刪除 IE 圖示！
239. [00:08:27,740 -> 00:08:28,740] 這一招確實狠
240. [00:08:29,060 -> 00:08:30,880] 網景的市佔率瞬間崩潰
241. [00:08:31,220 -> 00:08:33,420] 但也因為這種強硬的綑綁手段
242. [00:08:33,420 -> 00:08:34,620] 惹毛了監管機構
243. [00:08:34,940 -> 00:08:37,360] 直接導致美國司法部在 1998 年
244. [00:08:37,360 -> 00:08:39,920] 對微軟發起了世紀反壟斷訴訟！
245. [00:08:39,920 -> 00:08:43,620] 這場官司的結果真的超戲劇化
246. [00:08:43,620 -> 00:08:45,740] 在 2000 年的初審判決裡
247. [00:08:46,000 -> 00:08:47,820] 聯邦法官竟然直接下令：
248. [00:08:48,140 -> 00:08:49,760] 要把微軟一拆為二！
249. [00:08:50,240 -> 00:08:53,420] 雖然微軟後來靠著漫長的上訴和和解
250. [00:08:53,700 -> 00:08:56,040] 逃過了被硬生生拆解的命運
251. [00:08:56,340 -> 00:08:58,700] 但這場風暴讓他們在 2000 年代初期
252. [00:08:59,100 -> 00:09:01,300] 陷入了沒完沒了的法律泥淖
253. [00:09:01,680 -> 00:09:03,200] 也間接拖慢了他們後來
254. [00:09:03,200 -> 00:09:05,740] 面對智慧型手機時代的反應速度。
255. [00:09:05,740 -> 00:09:08,220] 這真的是一個英雄贏了天下
256. [00:09:08,700 -> 00:09:10,760] 卻差點被自己的力量反噬的
257. [00:09:10,760 -> 00:09:12,080] 真實商業故事。
258. [00:09:12,680 -> 00:09:14,340] 故事說到尾聲了
259. [00:09:14,580 -> 00:09:17,640] 讓我們來回顧一下這一切代表了什麼？
260. [00:09:18,180 -> 00:09:20,480] 第六部分：數位的成年禮
261. [00:09:20,880 -> 00:09:23,680] 全人類是如何集體擁抱數位文明的。
262. [00:09:24,040 -> 00:09:27,380] 今天當我們重新看這一段混亂又輝煌的歷史
263. [00:09:27,660 -> 00:09:29,220] 你會發現，Windows 95
264. [00:09:29,220 -> 00:09:31,580] 早就已經不是一套軟體那麼簡單了
265. [00:09:31,580 -> 00:09:33,860] 它是科技史上空前絕後
266. [00:09:34,060 -> 00:09:36,080] 也注定無法被複製的一個孤例。
267. [00:09:36,520 -> 00:09:38,580] 它就是用一個親切的開始按鈕
268. [00:09:38,760 -> 00:09:40,540] 還有一張藍天白雲的桌布
269. [00:09:40,920 -> 00:09:43,660] 硬生生地把電腦從神壇上拉下來
270. [00:09:43,900 -> 00:09:45,720] 搬進了你我的客廳跟書桌。
271. [00:09:46,060 -> 00:09:47,940] 當年人們徹夜排隊買下的
272. [00:09:48,120 -> 00:09:50,640] 其實是一張通往未知未來的船票。
273. [00:09:51,080 -> 00:09:53,180] 可以說，那是整個現代人類社會
274. [00:09:53,180 -> 00:09:56,080] 集體擁抱數位文明的一場盛大成年禮。
275. [00:09:56,560 -> 00:09:57,640] 故事聊到這邊
276. [00:09:57,840 -> 00:10:00,140] 我想留給大家一個很有意思的問題：
277. [00:10:00,660 -> 00:10:02,740] 當我們現在笑看 1995 年的人
278. [00:10:02,980 -> 00:10:06,140] 為了逃離 640KB 限制在那邊歡呼的時候
279. [00:10:06,500 -> 00:10:08,680] 你覺得，我們現在正在用的
280. [00:10:08,680 -> 00:10:10,660] 哪一項所謂的尖端科技
281. [00:10:10,980 -> 00:10:12,640] 在 30 年後的人眼中
282. [00:10:12,800 -> 00:10:15,740] 會顯得一樣原始、甚至有點可笑呢？
283. [00:10:16,200 -> 00:10:18,540] 科技的巨輪真的從來沒有停過
284. [00:10:18,900 -> 00:10:20,920] 會不會下次改變世界的開始
285. [00:10:21,300 -> 00:10:23,360] 其實現在就近在我們眼前呢？
286. [00:10:23,780 -> 00:10:26,680] 好了，今天的專題故事就為大家解說到這邊
287. [00:10:27,080 -> 00:10:28,360] 希望你們喜歡這個故事
288. [00:10:28,680 -> 00:10:29,500] 我們下次見囉！
